id;user_id;display_name;avatar_url;default_drink_type;default_sort_order;theme_preference;created_at;updated_at;analytics_enabled;username;bio;is_public;activity_visibility;has_seen_welcome;onboarding_step;dismissed_onboarding_steps
91fac0df-4326-4030-bb65-483ae4c86e6f;25fbd092-9d1d-4a49-80e1-0271cfdcef3a;Courtney;;;date_desc;system;2026-02-10 17:46:10.257966+00;2026-02-10 17:46:55.399358+00;true;courtney;;true;public;true;welcome;[]
8a5df83f-57f5-4b7a-bb8e-6cc01168ed15;2295123d-fa10-48a2-a6eb-b5d67ccbe888;;;;date_desc;system;2025-12-25 17:17:20.039191+00;2026-02-12 16:05:07.94202+00;true;reid;;true;followers;true;welcome;[]
69acbc8c-400c-4ed6-837c-06c4f530c3c7;5f3c9d2d-70f7-4d1b-9787-879d0dfac455;Neerita;https://kvsfwvxlmrtbzafznczd.supabase.co/storage/v1/object/public/avatars/5f3c9d2d-70f7-4d1b-9787-879d0dfac455/1766849621655.jpg;;date_desc;dark;2025-12-24 21:37:26.093804+00;2025-12-27 15:33:54.407725+00;true;;;false;private;false;welcome;[]
b86ed5f0-ac4f-4202-a59b-d30875bf8bcb;dd5124ab-2fbe-4eb2-aedb-60db6adfc469;;;;date_desc;system;2025-12-28 22:09:15.444227+00;2025-12-28 22:09:15.444227+00;true;;;false;private;false;welcome;[]
d9431365-346a-4e4f-b771-2fc7f3fb9e8b;a9da3383-7481-4aec-a2b8-986d12fd40c4;;;;date_desc;system;2026-01-14 20:31:28.568039+00;2026-01-14 20:31:28.568039+00;true;;;false;private;false;welcome;[]
83290583-66c9-4e29-9e77-72af103c59ec;998481c6-1753-4ab4-98d0-330b94570d5b;;;;date_desc;system;2026-01-22 16:34:10.467333+00;2026-01-22 16:34:10.467333+00;true;;;false;private;false;welcome;[]
e80b56eb-4684-4e5c-8d16-225bb9c7a4b8;10125901-a724-4aaa-8754-44846a44178a;;;;date_desc;system;2026-01-22 20:57:08.407914+00;2026-01-22 20:57:08.407914+00;true;;;false;private;false;welcome;[]
4820001e-f5db-4e88-9258-1e93ee1048ec;f6fe9461-d81a-4a52-b194-3b7a30f6fa8c;Shreyasamav;;;date_desc;dark;2026-01-02 02:33:39.902985+00;2026-01-29 05:25:18.576198+00;true;shreyasamav;;true;followers;true;welcome;[]
9e7b5abe-6e08-4618-b8ba-08eee90e484b;0e434dbc-e66e-40cf-930d-8236e5545e39;Dev Test;;;date_desc;system;2026-01-19 18:25:31.74148+00;2026-02-03 20:45:35.420883+00;true;dev_test;;true;followers;true;completed;"[""welcome"",""add_drink"",""collections"",""social""]"
94b247a2-33fe-4335-a230-2df54eee48cf;b7d68135-b16f-4efd-89e9-dc9180061ef1;Adit Arya;avatars/b7d68135-b16f-4efd-89e9-dc9180061ef1/1770260276747.jpg;;date_desc;system;2025-12-04 01:43:37.910122+00;2026-02-05 02:58:04.833325+00;true;startrekker;;true;followers;true;completed;"[""welcome"",""add_drink"",""collections"",""social""]"